# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.8400,7.8200,0.3110,0.3110
-3.8400,7.7700,0.3217,0.3217
-3.8900,7.7200,0.2972,0.2972
-3.8900,7.6700,0.3217,0.3217
-3.8900,7.6200,0.3110,0.3110
-3.9400,7.5700,0.3424,0.3424
-3.9400,7.5200,0.3243,0.3243
-3.9900,7.4700,0.3243,0.3243
-3.9900,7.4200,0.3424,0.3424
-3.9900,7.3700,0.3424,0.3424
-4.0400,7.3200,0.3424,0.3424
-4.0400,7.2700,0.3599,0.3599
-4.0900,7.2200,0.3500,0.3500
-4.0900,7.1700,0.3720,0.3720
-4.0900,7.1200,0.3599,0.3599
-4.1400,7.0700,0.3648,0.3648
-4.1400,7.0200,0.3885,0.3885
-4.1400,6.9700,0.3720,0.3720
-4.1400,6.9200,0.3599,0.3599
-4.1900,6.8700,0.4023,0.4023
-4.1900,6.8200,0.4000,0.4000
-4.2400,6.7700,0.4090,0.4090
-4.2400,6.7200,0.4201,0.4201
-4.2400,6.6700,0.4090,0.4090
-4.2900,6.6200,0.4090,0.4090
-4.2900,6.5700,0.4201,0.4201
-4.2900,6.5200,0.4352,0.4352
-4.2900,6.4700,0.4201,0.4201
-4.2900,6.4200,0.4090,0.4090
-4.3400,6.3700,0.4521,0.4521
-4.3400,6.3200,0.4500,0.4500
-4.3400,6.2700,0.4352,0.4352
-4.3900,6.2200,0.4685,0.4685
-4.3900,6.1700,0.4583,0.4583
-4.4400,6.1200,0.4765,0.4765
-4.4400,6.0700,0.5000,0.5000
-4.4400,6.0200,0.4825,0.4825
-4.4400,5.9700,0.4685,0.4685
-4.4400,5.9200,0.4583,0.4583
-4.4900,5.8700,0.5019,0.5019
-4.4900,5.8200,0.5000,0.5000
-4.4900,5.7700,0.5000,0.5000
-4.4900,5.7200,0.5000,0.5000
-4.5400,5.6700,0.5500,0.5500
-4.5400,5.6200,0.5500,0.5500
-4.5400,5.5700,0.5500,0.5500
-4.5400,5.5200,0.5500,0.5500
-4.5400,5.4700,0.5500,0.5500
-4.5900,5.4200,0.6000,0.6000
-4.5900,5.3700,0.6000,0.6000
-4.5900,5.3200,0.6000,0.6000
-4.5900,5.2700,0.6000,0.6000
-4.5900,5.2200,0.6000,0.6000
-4.6400,5.1700,0.6500,0.6500
-4.6400,5.1200,0.6500,0.6500
-4.6400,5.0700,0.6500,0.6500
-4.6400,5.0200,0.6500,0.6500
-4.6400,4.9700,0.6500,0.6500
-4.6400,4.9200,0.6516,0.6516
-4.6900,4.8700,0.7059,0.7059
-4.6900,4.8200,0.7131,0.7131
-4.6900,4.7700,0.7232,0.7232
-4.6900,4.7200,0.7360,0.7360
-4.6900,4.6700,0.7514,0.7514
-4.6900,4.6200,0.7692,0.7692
-4.7400,4.5700,0.8323,0.8323
-4.7400,4.5200,0.8462,0.8462
-4.7400,4.4700,0.8624,0.8624
-4.7400,4.4200,0.8808,0.8808
-4.7400,4.3700,0.9012,0.9012
-4.7900,4.3200,0.8612,0.8612
-4.7900,4.2700,0.8550,0.8550
-4.7900,4.2200,0.8512,0.8512
-4.7900,4.1700,0.8500,0.8500
-4.7900,4.1200,0.8500,0.8500
-4.7900,4.0700,0.8500,0.8500
-4.7400,4.0200,0.8940,0.8940
-4.7400,3.9700,0.8808,0.8808
-4.6900,3.9200,0.9189,0.9189
-4.6900,3.8700,0.9107,0.9107
-4.6900,3.8200,0.9048,0.9048
-4.6400,3.7700,0.9511,0.9511
-4.6400,3.7200,0.9500,0.9500
-4.5900,3.6700,1.0000,1.0000
-4.5400,3.6200,1.0500,1.0500
-4.4900,3.5700,1.0604,1.0604
-4.4900,3.5200,1.0604,1.0604
-4.4400,3.4700,1.0542,1.0542
-4.3900,3.4200,1.0521,1.0521
-4.3400,3.3700,1.0427,1.0427
-4.2900,3.3200,1.0300,1.0300
-4.2400,3.2700,1.0130,1.0130
-4.1900,3.2700,1.0353,1.0353
-4.1400,3.2200,1.0130,1.0130
-4.0900,3.1700,0.9913,0.9913
-4.0400,3.1200,0.9680,0.9680
-3.9900,3.1200,0.9913,0.9913
-3.9400,3.0700,0.9736,0.9736
-3.8900,3.0200,0.9602,0.9602
-3.8400,3.0200,0.9902,0.9902
-3.7900,2.9700,0.9680,0.9680
-3.7400,2.9200,0.9466,0.9466
-3.6900,2.9200,0.9680,0.9680
-3.6400,2.8700,0.9466,0.9466
-3.5900,2.8700,0.9602,0.9602
-3.5400,2.8200,0.9477,0.9477
-3.4900,2.7700,0.9317,0.9317
-3.4400,2.7700,0.9602,0.9602
-3.3900,2.7200,0.9466,0.9466
-3.3400,2.7200,0.9602,0.9602
-3.2900,2.6700,0.9466,0.9466
-3.2400,2.6700,0.9477,0.9477
-3.1900,2.6200,0.9466,0.9466
-3.1400,2.6200,0.9466,0.9466
-3.0900,2.5700,0.9420,0.9420
-3.0400,2.5700,0.9477,0.9477
-2.9900,2.5200,0.9270,0.9270
-2.9400,2.5200,0.9466,0.9466
-2.8900,2.4700,0.9235,0.9235
-2.8400,2.4700,0.9466,0.9466
-2.7900,2.4200,0.9317,0.9317
-2.7400,2.3700,0.9200,0.9200
-2.6900,2.3200,0.9048,0.9048
-2.6400,2.2700,0.8904,0.8904
-2.5900,2.2200,0.8808,0.8808
-2.5400,2.1700,0.8759,0.8759
-2.4900,2.1200,0.8562,0.8562
-2.4400,2.0700,0.8362,0.8362
-2.3900,2.0200,0.8208,0.8208
-2.3400,2.0200,0.8425,0.8425
-2.2900,1.9700,0.8349,0.8349
-2.2400,1.9200,0.8118,0.8118
-2.1900,1.9200,0.8362,0.8362
-2.1400,1.8700,0.8208,0.8208
-2.0900,1.8700,0.8208,0.8208
-2.0400,1.8200,0.8349,0.8349
-1.9900,1.8200,0.8118,0.8118
-1.9400,1.7700,0.8349,0.8349
-1.8900,1.7700,0.8157,0.8157
