# x_m,y_m,w_tr_right_m,w_tr_left_m
5.6500,33.0000,0.5017,0.5017
5.7000,33.0000,0.5066,0.5066
5.7500,33.0000,0.5149,0.5149
5.8000,33.0000,0.5262,0.5262
5.8500,33.0000,0.5262,0.5262
5.9000,33.0000,0.5149,0.5149
5.9500,33.0000,0.5066,0.5066
6.0000,32.9500,0.5000,0.5000
6.0500,32.9500,0.5000,0.5000
6.1000,32.9500,0.5000,0.5000
6.1500,32.9500,0.5017,0.5017
6.2000,32.9500,0.5066,0.5066
6.2500,32.9500,0.5149,0.5149
6.3000,32.9500,0.5262,0.5262
6.3500,32.9000,0.4933,0.4933
6.4000,32.9000,0.5000,0.5000
6.4500,32.9000,0.5000,0.5000
6.5000,32.9000,0.5000,0.5000
6.5500,32.9000,0.5000,0.5000
6.6000,32.9000,0.5000,0.5000
6.6500,32.9000,0.5000,0.5000
6.7000,32.9000,0.5017,0.5017
6.7500,32.9000,0.5066,0.5066
6.8000,32.9000,0.5149,0.5149
6.8500,32.9000,0.5066,0.5066
6.9000,32.8500,0.4933,0.4933
6.9500,32.8500,0.5000,0.5000
7.0000,32.8500,0.5000,0.5000
7.0500,32.8500,0.5000,0.5000
7.1000,32.8500,0.5017,0.5017
7.1500,32.8500,0.5066,0.5066
7.2000,32.8500,0.5149,0.5149
7.2500,32.8500,0.5262,0.5262
7.3000,32.8500,0.5406,0.5406
7.3500,32.8500,0.5262,0.5262
7.4000,32.8000,0.4780,0.4780
7.4500,32.8000,0.4659,0.4659
7.5000,32.8000,0.4571,0.4571
7.5500,32.8000,0.4518,0.4518
7.6000,32.8000,0.4500,0.4500
7.6500,32.8000,0.4500,0.4500
7.7000,32.8000,0.4500,0.4500
7.7500,32.8000,0.4500,0.4500
7.8000,32.8000,0.4500,0.4500
7.8500,32.8000,0.4500,0.4500
7.9000,32.8000,0.4518,0.4518
7.9500,32.8000,0.4571,0.4571
8.0000,32.8000,0.4659,0.4659
8.0500,32.8000,0.4780,0.4780
8.1000,32.8000,0.4933,0.4933
8.1500,32.8000,0.5000,0.5000
8.2000,32.8000,0.5000,0.5000
8.2500,32.8000,0.5000,0.5000
8.3000,32.8000,0.4933,0.4933
8.3500,32.8000,0.4780,0.4780
8.4000,32.8000,0.4659,0.4659
8.4500,32.8000,0.4571,0.4571
8.5000,32.8000,0.4518,0.4518
8.5500,32.8000,0.4500,0.4500
8.6000,32.7500,0.4933,0.4933
8.6500,32.7500,0.5000,0.5000
8.7000,32.7500,0.5000,0.5000
8.7500,32.7500,0.5000,0.5000
8.8000,32.7500,0.5000,0.5000
8.8500,32.7500,0.5000,0.5000
8.9000,32.7500,0.5000,0.5000
8.9500,32.7500,0.5000,0.5000
9.0000,32.7500,0.5000,0.5000
9.0500,32.7500,0.5000,0.5000
9.1000,32.7000,0.5406,0.5406
9.1500,32.7000,0.5500,0.5500
9.2000,32.7000,0.5500,0.5500
9.2500,32.7000,0.5406,0.5406
9.3000,32.7000,0.5262,0.5262
9.3500,32.6500,0.5000,0.5000
9.4000,32.6500,0.5017,0.5017
9.4500,32.6500,0.5017,0.5017
9.5000,32.6500,0.5000,0.5000
9.5500,32.6500,0.5000,0.5000
9.6000,32.6000,0.4500,0.4500
9.6500,32.6000,0.4500,0.4500
9.7000,32.6000,0.4500,0.4500
9.7500,32.6000,0.4500,0.4500
9.8000,32.6000,0.4500,0.4500
9.8500,32.6000,0.4500,0.4500
9.9000,32.6000,0.4500,0.4500
9.9500,32.6500,0.4933,0.4933
10.0000,32.6500,0.4780,0.4780
10.0500,32.6500,0.4659,0.4659
10.1000,32.6500,0.4571,0.4571
10.1500,32.7000,0.4019,0.4019
10.2000,32.7000,0.4000,0.4000
10.2500,32.7000,0.4019,0.4019
10.3000,32.7000,0.4019,0.4019
10.3500,32.7500,0.3500,0.3500
10.4000,32.7500,0.3521,0.3521
10.4500,32.7500,0.3521,0.3521
10.5000,32.7500,0.3500,0.3500
10.5500,32.8000,0.3023,0.3023
10.6000,32.8000,0.3090,0.3090
10.6500,32.8000,0.3201,0.3201
10.7000,32.8000,0.3352,0.3352
10.7500,32.8500,0.3090,0.3090
10.8000,32.8500,0.3331,0.3331
10.8500,32.8500,0.3603,0.3603
10.9000,32.8500,0.3603,0.3603
10.9500,32.9000,0.3765,0.3765
11.0000,32.9500,0.3903,0.3903
11.0000,33.0000,0.3603,0.3603
